Date,Price,Open,High,Low,Change %
"Apr 04, 2025",6.74,6.745,6.745,6.745,-0.0015
"Apr 03, 2025",6.75,6.757,6.757,6.757,0
"Apr 03, 2025",6.75,6.757,6.757,6.757,0
"Apr 02, 2025",6.75,6.762,6.762,6.762,-0.0088
"Apr 02, 2025",6.75,6.762,6.762,6.762,-0.0088
"Mar 28, 2025",6.81,6.815,6.815,6.815,-0.0073
"Mar 28, 2025",6.81,6.815,6.815,6.815,-0.0073
"Mar 27, 2025",6.86,6.865,6.865,6.865,0
"Mar 27, 2025",6.86,6.865,6.865,6.865,0
"Mar 26, 2025",6.86,6.866,6.866,6.866,0
"Mar 26, 2025",6.86,6.866,6.866,6.866,0
"Mar 25, 2025",6.86,6.866,6.866,6.866,0
"Mar 25, 2025",6.86,6.866,6.866,6.866,0
"Mar 24, 2025",6.86,6.865,6.865,6.865,0.0015
"Mar 24, 2025",6.86,6.865,6.865,6.865,0.0015
"Mar 21, 2025",6.85,6.855,6.855,6.855,-0.0029
"Mar 21, 2025",6.85,6.855,6.855,6.855,-0.0029
"Mar 20, 2025",6.87,6.88,6.88,6.878,0
"Mar 20, 2025",6.87,6.88,6.88,6.878,0
"Mar 19, 2025",6.87,6.879,6.879,6.879,-0.0058
"Mar 19, 2025",6.87,6.879,6.879,6.879,-0.0058
"Mar 18, 2025",6.91,6.918,6.918,6.918,0.0252
"Mar 18, 2025",6.91,6.918,6.918,6.918,-0.0029
"Mar 17, 2025",6.93,6.94,6.94,6.933,0.0029
"Mar 13, 2025",6.91,6.921,6.921,6.921,0.0014
"Mar 12, 2025",6.9,6.912,6.912,6.912,-0.0029
"Mar 11, 2025",6.92,6.928,6.928,6.928,0
"Mar 10, 2025",6.92,6.93,6.93,6.93,-0.0014
"Mar 07, 2025",6.93,6.943,6.943,6.943,-0.0014
"Mar 06, 2025",6.94,6.947,6.947,6.947,0
"Mar 05, 2025",6.94,6.948,6.948,6.948,0
"Mar 04, 2025",6.94,6.95,6.95,6.95,0.0014
"Mar 03, 2025",6.93,6.941,6.941,6.941,0.0014
"Feb 28, 2025",6.92,6.928,6.928,6.928,-0.0043
"Feb 27, 2025",6.95,6.958,6.958,6.958,-0.0023
"Feb 25, 2025",6.966,6.966,6.966,6.966,0.0009
"Feb 24, 2025",6.96,6.967,6.967,6.967,-0.0022
"Feb 21, 2025",6.975,6.975,6.975,6.975,-0.0003
"Feb 20, 2025",6.977,6.977,6.977,6.977,0.002
"Feb 18, 2025",6.963,6.963,6.963,6.963,-0.001
"Feb 17, 2025",6.97,6.97,6.97,6.97,0.002
"Feb 14, 2025",6.956,6.956,6.956,6.956,0.001
"Feb 13, 2025",6.949,6.949,6.949,6.949,-0.0022
"Feb 12, 2025",6.964,6.964,6.964,6.964,0.0001
"Feb 11, 2025",6.963,6.963,6.963,6.963,0.0003
"Feb 10, 2025",6.961,6.961,6.961,6.961,0.0007
"Feb 07, 2025",6.956,6.956,6.956,6.956,0.0022
"Feb 06, 2025",6.941,6.941,6.941,6.941,-0.0027
"Feb 05, 2025",6.96,6.96,6.96,6.96,0.0017
"Feb 04, 2025",6.948,6.948,6.948,6.948,0.0001
"Feb 03, 2025",6.947,6.947,6.947,6.947,-0.0013
"Jan 31, 2025",6.956,6.956,6.956,6.956,0.0045
"Jan 30, 2025",6.925,6.925,6.925,6.925,-0.0039
"Jan 29, 2025",6.952,6.952,6.952,6.952,0.0009
"Jan 28, 2025",6.946,6.946,6.946,6.946,0.0071
"Jan 27, 2025",6.897,6.897,6.897,6.897,-0.0073
"Jan 24, 2025",6.948,6.948,6.948,6.948,0.0009
"Jan 23, 2025",6.942,6.942,6.942,6.942,-0.0019
"Jan 22, 2025",6.955,6.955,6.955,6.955,-0.0039
"Jan 21, 2025",6.982,6.982,6.982,6.982,-0.0001
"Jan 20, 2025",6.983,6.983,6.983,6.983,-0.0021
"Jan 17, 2025",6.998,6.998,6.998,6.998,-0.0003
"Jan 16, 2025",7,7,7,7,0.0004
"Jan 15, 2025",6.997,6.997,6.997,6.997,-0.0024
"Jan 14, 2025",7.014,7.014,7.014,7.014,-0.0004
