Date,Price,Open,High,Low,Change %
"Apr 07, 2025",6.343,6.352,6.359,6.343,0.0198
"Apr 04, 2025",6.22,6.332,6.332,6.215,-0.0111
"Apr 03, 2025",6.29,6.301,6.34,6.297,-0.0032
"Apr 02, 2025",6.31,6.4,6.4,6.311,-0.0171
"Mar 28, 2025",6.42,6.464,6.464,6.418,-0.0062
"Mar 27, 2025",6.46,6.468,6.477,6.463,0
"Mar 26, 2025",6.46,6.481,6.481,6.459,-0.0015
"Mar 25, 2025",6.47,6.494,6.552,6.479,0
"Mar 24, 2025",6.47,6.519,6.519,6.466,0.0015
"Mar 21, 2025",6.46,6.554,6.554,6.482,-0.0062
"Mar 20, 2025",6.5,6.557,6.557,6.518,-0.0031
"Mar 19, 2025",6.52,6.557,6.557,6.528,0
"Mar 18, 2025",6.52,6.573,6.573,6.545,-0.0031
"Mar 17, 2025",6.54,6.574,6.574,6.545,0.0015
"Mar 13, 2025",6.53,6.551,6.575,6.546,-0.0015
"Mar 12, 2025",6.54,6.564,6.564,6.54,-0.0015
"Mar 11, 2025",6.55,6.56,6.579,6.556,0
"Mar 10, 2025",6.55,6.556,6.58,6.556,0.0015
"Mar 07, 2025",6.54,6.557,6.557,6.538,0.0015
"Mar 06, 2025",6.53,6.56,6.56,6.534,-0.0015
"Mar 05, 2025",6.54,6.608,6.608,6.559,-0.003
"Mar 04, 2025",6.56,6.586,6.609,6.565,0
"Mar 03, 2025",6.56,6.596,6.596,6.579,0.0031
"Feb 28, 2025",6.54,6.611,6.611,6.568,-0.003
"Feb 27, 2025",6.56,6.569,6.573,6.559,-0.0009
"Feb 25, 2025",6.566,6.602,6.602,6.563,-0.0021
"Feb 24, 2025",6.58,6.612,6.612,6.581,-0.0047
"Feb 21, 2025",6.611,6.666,6.666,6.611,-0.0009
"Feb 20, 2025",6.617,6.626,6.626,6.617,0.0009
"Feb 18, 2025",6.611,6.632,6.632,6.611,0.0003
"Feb 17, 2025",6.609,6.629,6.629,6.608,-0.0026
"Feb 14, 2025",6.626,6.637,6.641,6.625,-0.0009
"Feb 13, 2025",6.632,6.637,6.641,6.618,0.0027
"Feb 12, 2025",6.614,6.624,6.624,6.606,-0.0002
"Feb 11, 2025",6.615,6.629,6.629,6.606,0.0014
"Feb 10, 2025",6.606,6.676,6.676,6.606,0.0018
"Feb 07, 2025",6.594,6.631,6.631,6.576,0.0041
"Feb 06, 2025",6.567,6.634,6.634,6.567,0.0014
"Feb 05, 2025",6.558,6.635,6.635,6.558,-0.0024
"Feb 04, 2025",6.574,6.59,6.59,6.572,-0.0006
"Feb 03, 2025",6.578,6.579,6.614,6.573,-0.0038
"Jan 31, 2025",6.603,6.637,6.637,6.603,-0.0011
"Jan 30, 2025",6.61,6.663,6.663,6.61,-0.0002
"Jan 29, 2025",6.611,6.64,6.64,6.608,0.0029
"Jan 28, 2025",6.592,6.641,6.641,6.592,-0.0011
"Jan 27, 2025",6.599,6.623,6.623,6.596,-0.0038
"Jan 24, 2025",6.624,6.634,6.642,6.62,-0.0009
"Jan 23, 2025",6.63,6.659,6.659,6.63,-0.0015
"Jan 22, 2025",6.64,6.714,6.714,6.64,-0.0021
"Jan 21, 2025",6.654,6.715,6.715,6.647,-0.0017
"Jan 20, 2025",6.665,6.706,6.706,6.665,0.0026
"Jan 17, 2025",6.648,6.68,6.68,6.648,-0.0005
"Jan 16, 2025",6.651,6.696,6.696,6.651,-0.0112
"Jan 15, 2025",6.726,6.764,6.764,6.724,-0.0034
"Jan 14, 2025",6.749,6.787,6.787,6.747,0.0004
"Jan 13, 2025",6.746,6.838,6.838,6.746,0.0087
"Jan 10, 2025",6.688,6.695,6.708,6.685,-0.0003
"Jan 09, 2025",6.69,6.688,6.747,6.688,0.0024
"Jan 08, 2025",6.674,6.703,6.703,6.672,-0.0015
"Jan 07, 2025",6.684,6.681,6.695,6.67,0.001
"Jan 06, 2025",6.677,6.713,6.713,6.677,-0.0046
"Jan 03, 2025",6.708,6.727,6.727,6.708,-0.0021
"Jan 02, 2025",6.722,6.73,6.752,6.716,-0.0015
"Jan 01, 2025",6.732,6.744,6.744,6.713,0.0049
"Dec 31, 2024",6.699,6.745,6.745,6.699,-0.0033
"Dec 30, 2024",6.721,6.767,6.767,6.721,-0.0034
"Dec 27, 2024",6.744,6.744,6.756,6.744,-0.0095
"Dec 26, 2024",6.809,6.746,6.809,6.728,0.0129
"Dec 24, 2024",6.722,6.739,6.739,6.721,-0.0066
"Dec 23, 2024",6.767,6.725,6.767,6.719,0.0067
"Dec 20, 2024",6.722,6.749,6.755,6.718,0.0019
"Dec 19, 2024",6.709,6.771,6.771,6.709,0.0034
"Dec 18, 2024",6.686,6.692,6.701,6.678,0.0022
"Dec 17, 2024",6.671,6.7,6.706,6.665,0.0001
"Dec 16, 2024",6.67,6.69,6.699,6.67,-0.0007
"Dec 13, 2024",6.675,6.697,6.697,6.669,0.0023
"Dec 12, 2024",6.66,6.694,6.694,6.66,0.003
"Dec 11, 2024",6.64,6.704,6.704,6.64,0.0021
"Dec 10, 2024",6.626,6.629,6.646,6.623,-0.0027
"Dec 09, 2024",6.644,6.69,6.69,6.644,0.0008
"Dec 06, 2024",6.639,6.746,6.746,6.639,0.0024
"Dec 05, 2024",6.623,6.629,6.629,6.607,0.0029
"Dec 04, 2024",6.604,6.639,6.639,6.604,-0.0036
"Dec 03, 2024",6.628,6.655,6.655,6.627,0.0011
"Dec 02, 2024",6.621,6.626,6.654,6.615,-0.0073
"Nov 29, 2024",6.67,6.646,6.67,6.646,-0.0061
"Nov 28, 2024",6.711,6.711,6.711,6.711,-0.0009
"Nov 27, 2024",6.717,6.745,6.745,6.717,0.0006
"Nov 26, 2024",6.713,6.729,6.752,6.713,-0.0009
"Nov 25, 2024",6.719,6.73,6.73,6.719,-0.0009
"Nov 22, 2024",6.725,6.725,6.725,6.725,0.0012
"Nov 21, 2024",6.717,6.72,6.723,6.717,0.0016
"Nov 19, 2024",6.706,6.741,6.741,6.706,-0.0013
"Nov 18, 2024",6.715,6.715,6.715,6.715,0.0022
"Nov 14, 2024",6.7,6.732,6.754,6.7,-0.0024
"Nov 13, 2024",6.716,6.731,6.731,6.716,0.0009
"Nov 12, 2024",6.71,6.742,6.742,6.71,0.0012
"Nov 11, 2024",6.702,6.721,6.721,6.702,-0.0001
"Nov 08, 2024",6.703,6.743,6.743,6.703,-0.0003
"Nov 07, 2024",6.705,6.736,6.736,6.705,-0.0043
